,131767
རྒྱལ་བོ,463
ཡོད་ས,460
རིན་པོ་ཆེ,459
ལུས,458
ལགས་སོ,457
སྔོན་མ,456
སྤེལ,456
ནམ,454
ཆུ་ཚོད,453
གཉིས་པ,453
ལན,449
དུས་རབས,449
ཤོག,448
དེ་ཡིན་དུས,445
ཕལ་ཆེར,444
འདི་ནི,441
མཛད,439
ས་ཁུལ,439
ནང་དོན,438
འབྲེལ་བ,436
དཔེ,436
ཨ,436
ཅན,433
སྲོལ་རྒྱུན,433
ཞེ་པོ,432
མདུན,431
ཞིང་ཆེན,429
དུས་ཚོད,428
བྲིས,428
སྤྲད,427
ཕོ་བྲང,427
སྐྱེས,423
ཞུས,417
ཚུལ,417
མང་ཚོགས,417
ཟླ་བ,417
རེ་རེ,416
ལེན,416
ཕྱིན་པ,416
བཅུག,413
མིག,411
འགྲོ་བ,407
བསྡད་པ,404
པ,402
ཞུགས,398
ཧ་གོ,397
ཕ་མ,397
གྲོང་ཁྱེར,397
དེབ,395
གོ,394
ཇི་ལྟར,393
སྤྱི་ལོ,393
ཕེབས,391
ཁྱོད་རང,388
སྤྱང་ཀི,388
ཡི་གེ,387
ཚང,386
ས་ཆ,385
འགྱུར,384
དོ་དམ,384
བླངས,383
མཐོང་བ,380
རིམ་པ,380
ཐོབ,379
རིག་པ,378
བདག,377
ཕན་ཚུན,374
གསེར,373
སློབ་ཆེན,373
ཡོང་དུས,372
ཚིག,370
ཚོགས,369
ཅུང,368
ཟེར་ན,368
ཁང་པ,368
ལྷ་ཅིག,368
ཟ,367
མཚོན,366
ལྡན་པ,366
ཀྲུང་གོའི,365
བཤད་ན,365
འཛུགས་སྐྲུན,365
ཏག་ཏག,364
བོད་རིགས,362
གཞུང,359
ཐོག་མར,356
དམ,353
ལྷ,352
ལྔ,351
ཆེན་མོ,351
དཔལ་འབྱོར,350
ལབ་ན,350
བརྗོད,350
དེ་བས,345
བལྟ,344
གློག་བརྙན,344
དམིགས་བསལ,343
མཁས་པ,343
བཙུགས,343
དེ་བཞིན,343
ཚོགས་པ,342
ག་ཚོད,342
སྔར,341
འཇིག་རྟེན,339
ཁ་སང,339
ཐབས,339
མྱོང,338
ལྷག་པར,338
ང་ཚོས,337
དེ་དུས,337
ཆུང་མ,336
འདི་དག,336
ནང་བཞིན,336
མཆོག,333
རག,331
བོད་པ,330
ལའང,329
བཏབ,329
གསུམ་པ,328
གལ་སྲིད,328
རུང,328
མེ་ཏོག,327
ཚད,325
བོད་སྐད,325
སྒྲ,324
དཔེ་ཆ,324
བེད་སྤྱོད,323
བཙུན་མོ,322
ལ་སོགས་པ,321
དཀའ་ངལ,321
མེད་པར,317
བརྩམས་ཆོས,316
སེང་གེ,316
ཆ,316
བྱེད་མཁན,316
གནད་དོན,315
གཉིད,315
སོ་སོའི,315
ཀྱིན,314
སློབ་གསོའི,314
ངེས་པར,313
ཁྱད་པར,312
གྲོགས་པོ,312
བཏོན,312
འགྲན་བསྡུར,311
ཡིན་པར,311
དུས་ཆེན,311
བསྒྱུར,310
པའི,310
ནང་བསྟན,309
ཁྲི,308
ས་གནས,308
ཉིན་ཞིག,308
ཁུལ,308
མཐར,308
སྲིད,307
སེམས་ཅན,307
ཆེ་བའི,306
བཀྲ་ཤིས,306
རྒྱུགས,306
བརྒྱ,306
མི་སྣ,306
རེ་བ,305
ཤུགས,305
ངོ་སྤྲོད,305
ཟིན,305
ངོས,303
གཞན་པ,303
སང་ཉིན,301
བྱེད་ཡ,301
ཨང,301
ལངས,300
ལས་དོན,300
ཆེད་དུ,299
བྱ་དགའ,299
དོ,299
མེད་པའི,299
དེ་ལས,298
ཐུན་མོང,298
བསྟན,297
བུད་མེད,296
ཡིན་པའི,295
མཚན་ཉིད,294
བཏང་བ,293
དགོས་པའི,293
གལ་ཆེན,293
རེད་པས,292
དཀར་པོ,290
ཚུར,289
ཡིན་ནའང,289
དམངས་ཁྲོད,288
ཚོས,288
འདུག་པ,288
རྩ་བ,287
མཉམ་དུ,286
གང་ལྟར,285
ཡང་བསྐྱར,284
ནའང,283
འཚོ་བའི,282
ལྟ་བ,282
ཁ་ལག,281
ཁྱིམ་ཚང,279
བཞུགས,279
ཨ་ནེ,277
དྲན,276
རྒན་མོ,276
རྟ,276
བསྟུན,275
སྟབས,275
གསུང,274
རིན་ཐང,273
སློབ་ཁྲིད,272
གསུངས་པ,272
ཡིན་ཡང,272
མིའི,272
བསྟན་པ,272
ལག་རྩལ,272
ལག་པ,271
ཁོ་གཉིས,271
གཙང་མ,271
སླར་ཡང,271
ཝ་མོ,270
ཨིན,269
ནང་ལོགས,269
ལབ་དུས,268
གསར་བ,268
བཞག་ན,267
ཕྱི,266
སྲོག་ཆགས,266
ལྡན་པའི,265
ཨེ་འདྲ,265
གཏན,265
ཤོར,265
གམ,264
ཁྱོད་ཚོ,264
འབྱུང,263
བགྲོ་གླེང,262
ཁྲིད,261
ཆ་ནས,261
དགའ,260
མི་འདུག་ག,260
དངུལ,260
ནགས་ཚལ,259
རྒྱལ་རབས,259
ལྟོས,258
གསར་པ,258
གལ་ཏེ,257
འཇོག,257
ཤ,257
ཡུན་རིང,257
ཤོད,257
བྱ་བའི,257
རྒྱུད,257
ཉིད,257
དོ་སྣང,256
ཁོ་ན,256
ལས་ཁུངས,255
ད་ལྟའི,255
བློ,254
ཞེ་དྲག,254
སམ,253
བསྡུས,253
མི་འདྲ་བ,253
ཆབ་སྲིད,252
ལོ་སར,252
བཀོད,252
ངའི,251
རང་རང,251
ལྟ,251
སྒྲུང,250
སྡོད,250
སྒོར,250
ལམ་ལུགས,250
དཀའ་ལས,249
སྤྱིར,249
ལྷ་ས,249
དྲུག,248
ངོས་ནས,248
ཞོགས་པ,248
འཛིན,247
ཨ་ཅག,247
གཏོང་བ,247
བསམ་པ,247
རྒྱུན,247
མེ,247
བོན,246
བྱུང་བའི,245
ཉམས་མྱོང,245
རིག་གཞུང,244
གསར་འགྱུར,244
བྱིས་པ,244
ཡིད,243
བདུན,242
དེང་རབས,242
ཡ་ཡ,242
ཚན་རིག,241
སྐྱེས་པ,240
གཉིས་ཀ,240
བྲོས,240
ཁྱེར,238
དར,238
ལག,238
གཞོན་ནུ,238
མགྱོགས་པོ,237
ཆུང་བ,237
རོ,235
ཁ་པར,235
ཁོས,235
དེ་ལ,235
ཅི་ཞིག,234
རང་བྱུང,234
ཚོགས་འདུ,232
ཕུལ,232
འགའ,232
དེ་མིན,232
དེ་ཉིད,232
གནང་བ,232
མི་དམངས,231
མུ་མཐུད,230
མ་རེད་པ,230
ཕ་ཡུལ,230
འགྱུར་བ,229
རྐྱེན,229
དུས་སྐབས,229
ཐ་སྙད,229
ཆོ་ག,227
ཡོད་མེད,227
མ་སོང,227
བྱེད་ཐབས,227
ཡོན་ཏན,227
ཅི་ཡང,227
དེས་ན,227
འོན་ཏེ,225
མང་བོ,224
དཀོན་མཆོག,223
གསར,223
རིམ་བཞིན,223
གིན,222
ཉམས་ལེན,222
དངོས་གནས་དྲང་གནས,221
ཀློག,221
གལ་ཆེན་པོ,221
ལུགས,220
ངེད་གཉིས,220
གཞུང་ལུགས,220
ངོ,220
མ་ཡིན་པ,220
ལྟ་བུའི,220
ཡོད་པར,219
རྩོམ་ཡིག,219
གྲ་སྒྲིག,219
ཏིག་ཙི,219
གཞོན་པ,219
འདོན,218
ཡང་ན,218
ལྡན,218
རྩོམ,218
ཤེས་བྱ,218
གོ་སྐབས,217
སློབ་གྲྭའི,217
ནང་དུ,217
རྣམ་གྲངས,217
ཨ་ཁུ,216
ཡིན་ས,216
ལག་ལེན,215
སྟོན་པ,215
ཉན,215
རྫོང,215
གྱུར་པ,215
ཁྱི,214
དེ་ག,214
རྩོམ་པ་པོ,214
ལོ་ངོ,214
མི་ཚེ,214
ལེགས,213
ཡིག་ཆ,213
རྒན་པ,213
ནང་ལ,212
ངམ,212
རྒྱུར,212
ཞུས་པ,212
བླུགས,212
སེམས་པ,211
ཆ་རྐྱེན,211
འབྲི,211
གཏང,211
སྐྱིད་པོ,211
རི་མོ,210
ཆུང,210
སྟེར,209
རྒྱ་ནག,209
བྱ་འགུལ,209
རྙེད,209
བ,209
ད་ཆ,208
ཤུགས་རྐྱེན,208
གནའ་བོའི,208
ཐག,208
སྤེལ་བ,208
ངོ་མ,208
གལ,208
གསལ,207
འཇུག,207
འཛུལ,207
རང་གི,207
དྲི་བ,207
ཡུལ་སྐོར,207
གོ་རིམ,206
ནོ,206
བྱས་ཙང,205
གང་ཞིག,205
གློ་བུར,205
མཚོན་ན,205
ཐོག་མ,205
སྒྲུབ,204
འཐུང,203
འཁྲིད,203
གནའ་སྔ་མོ,203
གང་ཡང,203
འདོད་པ,203
བཅུ,203
ཙམ་པ,203
འཁྲབ་སྟོན,202
ཕ,202
གཏམ,202
ངོས་འཛིན,202
ང་ཚོའི,202
རྒྱལ་ཡོངས,202
ཐོས,201
འདྲ་བ,201
ཉལ,201
ཚོའི,201
སྲས་མོ,201
སྲོལ,201
ཤི,201
ཁང,201
འགྲོ་ཡ,200
གྲུབ,200
ཟིན་པ,199
བློན་པོ,198
ཡིད་ཆེས,198
འབྲེལ་ཡོད,197
བཞག་པ,197
མ་ལག,196
བྱེད་སྟངས,196
དགེ་བ,196
གྱད་མི,196
ཤར,196
ལས་རིགས,196
ཁག་པོ,195
སྤྱད,194
ཡོད་ཚད,194
ཐེབས,193
ཕན་ཐོགས,193
ཆེ་ཤོས,193
ཡིན་དུས,193
གཞི,192
གོ་བ,192
ཤེས་རིག,192
རྒྱལ་སྤྱིའི,192
ནང་ཆོས,191
འཁོར,191
བརྩམས,191
བོང་བུ,191
རྒྱབ,191
མངོན,191
རི,191
རྣམ་ཐར,190
རྒྱལ་པོའི,190
བརྒྱད,190
སླེབས་པ,190
མཚམས,190
འདིས,190
ཐོག་ནས,189
རོགས་པ,189
རྩིས,189
སོ་སོར,189
བརྙན་འཕྲིན,189
སློབ་མའི,189
འགོ,188
གྲས,188
རྒྱུའི,188
སློབ་དཔོན,188
སྟག,186
ཤུལ་བཞག,186
ཕྱི་ནང,185
གཅིག་པ,185
བསྐྲུན,184
རིང་པོ,184
འདུག་བ,183
ཀྲུང་གོ,183
འབྲེལ,183
དགོས་ན,183
ཐུགས་རྗེ་ཆེ,183
མཐོ་སྒང,182
ལེགས་པོ,182
ཨེ,182
ན་རེ,181
བཟང,181
བཞིན་པ,181
བཟང་པོ,181
བྱེད་པར,180
ག་དུས,180
སྡེ་བ,180
འཕྲད,180
ཟེར་ཡ,180
དེ་གཉིས,180
འཕུར,179
སློབ་གྲོགས,179
ཞོར,179
གནས་སྟངས,179
ཕན,179
ཁམས,179
སྟོན,179
རྒྱ,178
དམར་པོ,178
དད་པ,178
རྒྱ་ཡིག,178
རྐྱང་རྐྱང,178
བཏགས,178
མཛད་པ,178
གོང་མ,178
མང་ཆེ་བ,177
རྒྱ་མཚོ,177
མཁན་པོ,177
འབྲེལ་བའི,177
གཟུགས་པོ,177
ཆ་ཚང,177
མཁན,176
བདེ་སྐྱིད,176
རྔོན་པ,176
ཐོན་པ,176
བསད,176
དོན་དག,176
སྒོར་མོ,176
ཁྱོན་ནས,176
མེད་ན,176
འོང,176
དྲིས་པ,176
ཁོ་མོ,176
རྒྱུས་ལོན,175
དབྱེ་བ,175
ཞུ་བ,175
གནམ་གཤིས,175
ཕྱག,175
གྲུབ་འབྲས,174
གྲགས,174
མཇུག,174
རྡོ,174
བཀའ,173
བདག་པོ,173
མནའ་མ,173
ལེགས་པར,173
སྨོན་ལམ,173
འདྲ་མི་འདྲ,173
འགན,173
དྲངས,173
ཅུང་ཟད,173
ནད,173
རེད་ཤག,173
དངོས་པོ,173
ཁེ་ལས,172
གཙོ་བོར,172
མ་ཡིན་པའི,172
ད་གཟོད,172
ཆེད་ལས,172
ཇ,172
གཏམ་རྒྱུད,171
མ་རེད་ད,171
དེ་ཙམ,171
ཁོང་ཁྲོ,171
གྱོན,171
གྲྭ་བ,171
བཅད,171
དགེ་བཤེས,171
སྐར་མ,171
དམིགས་ཡུལ,170
གླུ,170
དགོས་ཡ,170
ཐུག,170
གཞིགས,170
རོལ,170
སྡུག་བསྔལ,170
བརྩེ་བ,170
བསམས,169
འོ་མ,169
ཙི་ཙི,168
འདི་ལྟར,168
ཡིག་གཟུགས,168
སོང་ན,167
ཐོན་སྐྱེད,167
སྲིད་གཞུང,167
གཞན་དག,167
ལྟེ་གནས,167
བཀའ་དྲིན,167
བྱེད་སྒོ,167
སྡོམ་པ,167
རྩེད་མོ,166
སྦྱིན་བདག,166
གཅིག་པུ,166
འཚོལ,166
བབས,166
ཐབས་ལམ,165
འདུ་ཤེས,165
ཐོན་ཁུངས,165
རྒན,164
བཙལ,164
སྙིང་རྗེ,164
ཕྱིས,164
ཚེམ་བུ་བ,164
གྱིན,164
ཉམས,164
དུས་ཡུན,164
དབུས,163
སྐུལ་འདེད,163
ཁ་དོག,163
ཁུར,163
ཤིང་སྡོང,163
མི་དགོས,163
ཤེས་པ,162
ཀྲུང་དབྱང,162
རྒྱབ་སྐྱོར,162
རྗེས་མ,162
ཅེས་པ,162
རྩོད་པ,161
རྟེན་འབྲེལ,161
ཡོངས་རྫོགས,161
བསྒྲུབ,161
འགྲོ་སྟངས,160
གཞི་ནས,160
འདུས,160
སྐྱོན,160
བརྗོད་པ,159
སྒོས,159
རིག་པའི,159
མ་ཡིན,159
བཞིན་པའི,159
དམིགས,158
གང་འདྲ,158
ཐག་ཆོད,158
སོང༌,158
མཁས་དབང,158
མེད་པས,157
ཁྱེད་རང་ཚོ,157
དུ་མ,157
སྙིང,157
ཚར་བ,157
སེམས་ཁམས,157
བྱས་ནས,157
དེ་ནས་བཟུང,157
ང་རང་ཚོ,157
རི་དྭགས,157
སྤྱོད,156
མཆོད་རྟེན,156
ལམ་སེང,156
ཐབས་ཤེས,156
འབྲས་བུ,156
མཚམས་མཚམས,156
འཁྲིས,156
ཡིན་ད,155
གྲོས་ཚོགས,155
གོས,155
གསལ་བོ,155
བརྒྱུད་རིམ,155
རྟོགས,155
རང་དབང,155
ག་པ,155
རུ་ཁག,154
བུ་ཆུང,154
དགའ་པོ,154
ད་ག་རང,154
བྱེད་དུས,154
དང་པོའི,154
གཅིག་པོ,153
སྐུ,153
ཐུགས,153
ལུག,153
བོད་ཁུལ,153
སྐྲག,153
གཉེན་སྒྲིག,153
མ་བྱུང,152
དགུང་ལོ,152
དབྱིན་ཇི,152
སྣང་བ,152
སྒྲིག་གཞི,152
སྡེ་ཁག,152
གུ་གེ,152
ན་གཞོན,152
འདུག་སེ,152
དཔལ,151
རྗེ,151
མི་ཉག,151
བདེ་ཐང,150
ཙམ་པ་ལ,150
བཤད་ཡ,150
ངེས་ཅན,150
སྦྱོང,150
བརྟག་དཔྱད,150
ཉོ,149
གཙུག་ལག་ཁང,149
ནོར་བུ,149
གྲུབ་མཐའ,149
མཚན,149
རིམ,148
ངོ་བོ,148
བཅུ་གཉིས,148
ལག་བསྟར,148
མདོ་སྨད,148
ཐུབ་པའི,148
བོད་རང་སྐྱོང་ལྗོངས,148
སྤྱི་ཟླ,148
སྣང་ཚུལ,148
བསྡད་ན,147
གསོ་རིག,147
བྱེད་རྒྱུ,147
རྦད་དེ,147
རབ,147
ངག,147
སྤྲོད,147
ཡར་རྒྱས,146
ཆོག་པ,146
འདྲེ་མོ,146
མོ་རང,146
ལ་གཞས,146
སྔར་བཞིན,146
མཆོད་པ,145
བྱས་རྗེས,145
ལུས་རྩལ,145
འབོད,145
སྲས,145
རླུང,145
མཛད་སྒོ,145
མཐོ,144
སྣང,144
ལབ་པ,144
འདུག་ད,144
བཙན་པོ,144
གང་མང,144
ཐག་གཅོད,144
འདི་ཉིད,144
དགེ་མཚན,143
མི་མང,143
ཕྱི་ལོགས,143
རྒྱུ་ཆ,143
མ་གཞི,143
བསམ་ཚུལ,143
སློབ,142
ཚོགས་པའི,142
གྲབས,142
མ་དངུལ,142
སྲོག,141
འགྲེམ་སྟོན,141
སྤྱིའི,141
འགྲོ་དུས,141
ནག་པོ,141
སྨན,141
ཆེ་ཆུང,141
བརྗོད་བྱ,141
འདུག་པས,141
གནོད་པ,140
རྟགས,140
བརྒྱབ་པ,140
ཁྲིམས,140
དེང,140
ནོར,140
སྐབས་དེར,140
མ་ཡིན་པར,140
གསར་རྩོམ,140
སྦྱར,140
གཞན་ཡང,139
གསལ་པོ,139
ལམ་རིམ,139
ཚོར,139
གང་ཡིན,139
རྨང་གཞི,139
ལ་དྭགས,139
འཆར་གཞི,139
ཕ་གི,138
གཟུགས,138
རྨང་གཞིའི,138
གྲྭ་པ,138
སྐྱེ,138
གཏོང་བའི,138
མི་ཤེས,138
ཁོངས,138
དམ་པ,138
འཐེན,137
སྦྱངས,137
གོམས་སྲོལ,137
དཔྱད་པ,137
ཆང,136
བསྐྱལ,136
མཚན་མོ,136
སློབ་གླིང,135
བོད་མི,135
རྟག་པར,135
མི་རབས,135
བསྐོར,135
གདོང,135
ཞུགས་པ,135
དཔེ་དེབ,135
བསྟེན,135
མ་ཐག,135
གྲུབ་པ,135
མཐུན་ཚོགས,134
སྤྱི,134
ཟློས་གར,134
ཚོར་བ,134
བཙུན་མ,133
གསར་གཏོད,133
ཆགས་པ,133
ཚང་མས,133
གོམས་གཤིས,133
བཟོས་པ,133
ཡིན་མིན,132
དམངས་སྲོལ,132
མི་ཐུབ་པ,132
རླངས་འཁོར,132
རྐང་པ,132
དམངས,132
ནམ་ཡང,132
ཐོབ་པ,132
ཤེས་ཡོན,131
གཅོད,131
ངལ་རྩོལ,131
བདེ་བ,131
ཕུད,131
སྐྱེལ,131
མ་བྱས,130
ལྷམ,130
ཕྱེད་ཀ,130
ཉི་ཤུ,130
མཐུན་པ,130
མཇལ,130
ཕྱེ,129
བོད་རིག་པའི,129
ཅེས་པའི,129
མཁྱེན,129
རིམ་པའི,129
སྔགས,129
རིག་རྩལ,129
བརྒལ,129
དེའང,129
གནས་ལུགས,128
བློ་བཟང,128
མཉམ་འབྲེལ,128
འགྲམ,128
ཐ་ན,128
ཉུང,128
བྲིས་པ,128
ཕོ་མོ,128
ཀིརྟི,128
སྒང་ནས,127
བཅུག་པ,127
ད་ལོ,127
དགོས་མཁོ,127
ཐལ,127
བརྗོད་གཞི,126
བསྟན་བཅོས,126
རྡོ་རྗེ,126
ལོ་ཙཱ,126
རྙིང་པ,126
ཤེས་རྟོགས,126
ཐོས་པ,126
གླིང,126
སོ་སོས,126
མཐོན་པོ,126
བཞེངས,126
ཚད་ལྡན,125
མགོ་བོ,125
གང་རུང,125
གཙོ,125
ངེས་པ,125
རྗེས་ལ,125
ཕྱི་ཉིན,125
གུས་ལུགས,125
མཛད་པའི,125
ཟུར,125
བསྐྱོད,125
ཆེན,125
སྤྱོད་པ,125
གདོད་མའི,125
སྒོ་ནས,124
དགོང་མོ,124
ངེད,124
ཅ་ལག,124
ཁྱེད་ཚོ,124
མཐའ་མ,124
སྟོབས་ཤུགས,124
དེད,124
དམག,124
བཞེས,124
མ་ཐུབ་པ,124
ཡང་ཡང,123
བསྒྲིགས,123
འགྲེལ་བཤད,123
ཡག,123
རྩ་འཛུགས,123
ནུས,123
མཛོད,123
སློབ་ཚན,122
འཛོམས,122
མཐོ་རིམ,122
བཀོད་པ,122
འོ་ན,122
བྱོས,122
དགོན་སྡེ,122
གསལ་བ,122
གྲགས་ཅན,122
བཅས་པ,122
རིག་དངོས,121
མི་ཐུབ,121
ཕྱུག་པོ,121
དོན་དངོས,121
སྦྱིན་པ,121
གནད,121
གླེང,121
ཞབས་བྲོ,121
ཁེངས,120
བདུད,120
ལེགས་འགྲུབ,120
གྲུབ་པའི,120
ཁས་ལེན,120
ལྟ་ཚུལ,120
ལྷུང,120
འབྱོར,120
ཞོག,120
མཚོ་ལྷོ་ཁུལ,119
མ་རེད་བ,119
ཁྱབ,119
ཕྱི་མ,119
དཔེ་ཀློག,119
ལྗོངས,119
ཚབ,119
ཉ,119
རྩེ,119
བཀོད་སྒྲིག,119
ཡོང་བའི,119
ད་ནི,119
འཚོལ་བ,119
བསོད་ནམས,118
སྡེ་ཚན,118
གཟིགས,118
ཐོན་པའི,118
ཐོག་མའི,118
རབ་བྱུང,118
བོད་མིའི,118
ཁྲག,117
སྔོན་ཆད,117
ཚན་རྩལ,117
སློབ་གཉེར,117
ཀུན་སྤྱོད,117
གསོད,117
བཅོ་ལྔ,117
ཁྱབ་ཁོངས,117
ཉེ་བའི,117
རྒྱལ་སྲིད,117
རྩྭ,117
བོད་ཡུལ,117
དཔྱད་རྩོམ,117
དྲུང,117
ཞི་མི,116
རྒྱས,116
ལྟ་བུར,116
འདི་ཚོ,116
གྱུར་བ,116
དགའ་བ,116
འགྲོ་བའི,116
ཕུལ་བྱུང,116
རྒྱུ་རྐྱེན,116
སྤྲུལ་སྐུ,116
གནམ,115
ཞིབ་བཤེར,115
བྱས་པར,115
འཁུར,115
བཙན་པོའི,115
མང་བ,115
ཁྱོན,115
མ་ཐུབ,115
ཟེར་བའི,114
གཏན་འཁེལ,114
བཀྲ་ཤིས་བདེ་ལེགས,114
དངོས་ཡོད,114
གནས་པ,114
གླུ་གཞས,114
གྲངས,114
ཐོན་རྫས,113
བྱིན,113
འགོར,113
ཟོས,113
འབྲོང,113
འདུག་གས,113
གྲགས་པ,113
ལ་སོགས་པའི,113
རྫོགས,113
ལྔ་བཅུ,113
དུས་དེབ,113
སྒྲིག་འཛུགས,113
སི་ཁྲོན,113
ཞིམ་པོ,113
ཉིན་ལྟར,113
གནང་བའི,113
ལེན་པ,112
ཀུ་ཤུ,112
གླེང་བ,112
ཕྱི་ལོ,112
གཉིས་པའི,112
ཡག་ཤོས,111
དཔེ་རྙིང,111
དགོང་དག,111
བོས,111
ཕབ,111
བའི,111
བཅར་འདྲི,111
ཤེས་རབ,111
དཀྱིལ,111
སྔོན་ལ,111
དགོན་པའི,110
མཆིས,110
